torch.Size([64, 1, 32, 32])
torch.Size([64])

 Hidden Layer = [1, 1] Model Accuracy = 0.1797752808988764

 Hidden Layer = [1, 2] Model Accuracy = 0.25842696629213485

 Hidden Layer = [1, 4] Model Accuracy = 0.2640449438202247

 Hidden Layer = [1, 8] Model Accuracy = 0.23595505617977527

 Hidden Layer = [1, 16] Model Accuracy = 0.09550561797752809

 Hidden Layer = [1, 32] Model Accuracy = 0.33707865168539325

 Hidden Layer = [1, 64] Model Accuracy = 0.3089887640449438

 Hidden Layer = [1, 128] Model Accuracy = 0.3595505617977528

 Hidden Layer = [1, 256] Model Accuracy = 0.29213483146067415

 Hidden Layer = [1, 512] Model Accuracy = 0.38202247191011235

 Hidden Layer = [2, 1] Model Accuracy = 0.17415730337078653

 Hidden Layer = [2, 2] Model Accuracy = 0.3146067415730337

 Hidden Layer = [2, 4] Model Accuracy = 0.10112359550561797

 Hidden Layer = [2, 8] Model Accuracy = 0.29775280898876405

 Hidden Layer = [2, 16] Model Accuracy = 0.5056179775280899

 Hidden Layer = [2, 32] Model Accuracy = 0.5393258426966292

 Hidden Layer = [2, 64] Model Accuracy = 0.6629213483146067

 Hidden Layer = [2, 128] Model Accuracy = 0.5168539325842697

 Hidden Layer = [2, 256] Model Accuracy = 0.5786516853932584

 Hidden Layer = [2, 512] Model Accuracy = 0.6573033707865169

 Hidden Layer = [4, 1] Model Accuracy = 0.09550561797752809

 Hidden Layer = [4, 2] Model Accuracy = 0.39325842696629215

 Hidden Layer = [4, 4] Model Accuracy = 0.5730337078651685

 Hidden Layer = [4, 8] Model Accuracy = 0.7696629213483146

 Hidden Layer = [4, 16] Model Accuracy = 0.848314606741573

 Hidden Layer = [4, 32] Model Accuracy = 0.7808988764044944

 Hidden Layer = [4, 64] Model Accuracy = 0.8595505617977528

 Hidden Layer = [4, 128] Model Accuracy = 0.8820224719101124

 Hidden Layer = [4, 256] Model Accuracy = 0.898876404494382

 Hidden Layer = [4, 512] Model Accuracy = 0.9157303370786517

 Hidden Layer = [8, 1] Model Accuracy = 0.29775280898876405

 Hidden Layer = [8, 2] Model Accuracy = 0.38764044943820225

 Hidden Layer = [8, 4] Model Accuracy = 0.7640449438202247

 Hidden Layer = [8, 8] Model Accuracy = 0.8595505617977528

